,SPY_open,SPY_high,SPY_low,SPY_close,VBM,ATR,weekly_range
333,257.74,258.39,256.36,258.17,-212.99491668112583,1.4300000000000008,0.0
334,257.71,258.2926,257.37,258.09,-215.0681431005109,1.3894714285714278,2.990000000000009
335,257.32,258.59,257.27,258.33,-212.16460384858595,1.4323285714285723,0.0
336,257.44,257.85,256.52,257.73,-211.00046609475544,1.3787571428571437,0.0
337,256.62,257.22,255.63,256.44,-204.05822942491085,1.4566142857142867,0.0
338,257.52,259.04,257.4748,258.62,-191.8345203328982,1.4801857142857184,0.0
339,258.2,258.5882,257.77,257.86,-192.055894875345,1.448042857142866,3.410000000000025
340,265.6,266.38,265.4793,266.31,-152.9824023274563,1.8361785714285719,0.0
341,266.6,267.32,266.345,266.78,-154.1038322662861,1.7699428571428573,0.0
342,267.05,267.56,266.65,266.75,-153.49850258644113,1.793514285714289,0.0
343,267.09,267.22,265.6,265.66,-156.04523919961383,1.8578000000000015,0.0
344,265.54,267.04,265.39,266.51,-153.29153961939303,1.9220857142857182,2.170000000000016
345,273.32,274.1,272.98,273.92,-159.3000221154608,1.4067857142857219,0.0
346,274.43,275.25,274.081,274.54,-166.62929505953875,1.3525000000000043,0.0
347,273.71,274.42,272.92,274.12,-180.67841189217322,1.3653571428571476,0.0
348,274.75,276.12,274.56,276.12,-182.6990408259639,1.3910714285714343,0.0
349,276.43,278.11,276.0819,277.92,-181.3803815321667,1.439150000000004,5.189999999999998
350,285.99,286.43,284.5,284.68,-146.58948458283598,2.1843999999999943,0.0
351,283.2,284.736,281.22,281.76,-144.63397679268496,2.34054285714285,0.0
352,282.75,283.3,280.68,281.9,-142.7697463898846,2.4119714285714218,0.0
353,281.1,283.06,280.68,281.58,-137.41515079774763,2.4391142857142785,0.0
354,280.0,280.23,275.41,275.45,-129.26296830981005,2.734964285714276,11.019999999999982
355,273.47,275.85,263.31,263.93,-111.0793409349529,3.351392857142851,0.0
356,259.73,269.7,258.7,269.13,-95.63896006940959,3.917107142857138,0.0
357,268.46,272.36,267.58,267.67,-94.20331128084563,4.159964285714283,0.0
358,268.0,268.17,257.59,257.63,-88.46819739728811,4.824964285714283,0.0
359,260.94,263.61,252.92,261.5,-79.56786752541724,5.40425,22.930000000000035
360,275.9,278.01,275.26,277.9,-55.522338537087066,5.578178571428585,0.0
361,278.11,278.92,274.36,274.43,-50.560220923096765,5.118178571428585,0.0
362,275.65,276.19,271.29,271.65,-51.79845280745694,5.126750000000009,0.0
363,271.5,273.17,266.0,267.7,-51.7661488143908,4.883178571428579,0.0
364,265.75,269.72,264.82,269.08,-50.96716471325039,4.469607142857151,14.100000000000023
365,267.75,272.89,267.61,272.19,-50.471066388442516,4.4531785714285785,0.0
366,273.28,273.39,271.18,272.88,-52.06460905802276,4.3746071428571485,0.0
367,270.39,273.18,270.2,272.78,-51.772604964298814,4.180321428571436,0.0
368,273.52,274.24,272.42,274.1,-51.51134197729754,4.005321428571433,0.0
369,275.69,278.87,275.34,278.87,-49.29780184286638,4.111428571428576,11.259999999999991
370,279.2,279.91,278.0801,278.52,-49.69436922296612,4.0157071428571465,0.0
371,279.84,280.41,276.03,276.72,-52.35154436391335,3.98713571428572,0.0
372,277.81,278.02,274.67,275.3,-57.76889905611645,3.9828500000000013,0.0
373,275.85,276.61,274.43,275.0,-60.63782314408239,3.830707142857144,0.0
374,274.45,275.39,274.14,274.2,-61.430588334457084,3.684278571428572,6.270000000000039
375,262.56,263.13,254.67,257.47,-65.09793671781311,4.931835714285713,0.0
376,258.92,261.31,256.84,260.77,-64.14416781250746,4.938264285714283,0.0
377,256.76,264.355,256.6,263.56,-60.85794629987855,5.252907142857142,0.0
378,265.55,266.64,264.32,265.64,-59.552485388143836,5.317192857142855,0.0
379,263.42,265.11,258.0,259.72,-59.671770613563496,5.773621428571425,11.969999999999999
380,267.28,267.89,265.35,266.57,-58.35525819331244,3.881071428571423,0.0
381,267.76,267.9762,261.28,262.98,-54.041069189679,3.8054428571428542,0.0
382,262.94,264.13,260.85,263.63,-55.56748547454243,3.8197285714285676,0.0
383,264.86,267.2452,264.29,266.31,-55.79532485099549,3.5322428571428555,0.0
384,267.0,267.34,265.5,266.56,-55.71654277840371,3.2979571428571433,7.126199999999983
385,267.26,267.89,264.43,264.51,-58.82467435751622,3.1850999999999976,0.0
386,263.87,265.1,262.11,264.98,-60.5294191972371,3.237957142857141,0.0
387,264.77,265.68,262.76,263.2,-64.45248862166962,3.2150999999999987,0.0
388,262.28,263.36,259.05,262.62,-68.2029042445489,3.2708142857142826,0.0
389,261.52,266.7892,261.15,266.02,-66.47485334842035,3.45575714285714,8.839999999999975
390,266.91,268.02,266.11,266.92,-67.69182856637538,3.3457571428571384,0.0
391,266.48,267.325,265.15,266.92,-70.84577399504353,3.3989714285714245,0.0
392,267.67,269.865,267.09,269.5,-71.2499064503522,3.418614285714284,0.0
393,270.34,272.39,270.22,272.02,-72.28373800916576,3.378614285714284,0.0
394,272.25,273.15,271.58,272.85,-73.63481931546715,3.309328571428572,8.0
