,SPY_high,SPY_low,KC Upper,KC Lower,BBANDS Upper,BBands Lower,weekly_range
92,217.37,216.24,215.7241726302611,209.2905726302611,220.8466572541986,200.77934274580144,0.0
93,217.22,215.75,215.96785622854665,209.75405622854666,221.44465936606633,201.00034063393366,0.0
94,217.3,216.1,215.94586043925213,210.61206043925213,222.1096831830011,200.97331681699887,1.740000000000009
95,217.06,215.97,216.2479594741342,210.9501594741342,222.23410347881344,202.1998965211866,0.0
96,217.17,215.76,216.46004907270606,211.33824907270605,221.30360725641788,204.8523927435822,0.0
97,217.27,215.62,216.81870156047412,211.47690156047415,220.65785552992426,206.82714447007575,0.0
98,217.11,215.75,216.99529190505308,211.8054919050531,220.43624398069926,208.05775601930077,0.0
99,217.54,216.13,217.19825935861766,212.12625935861766,220.5259232741159,208.73007672588406,1.9199999999999875
100,217.65,216.405,217.47723466969933,212.2792346696993,220.50196140623476,209.46803859376521,0.0
101,216.83,214.57,217.85435518039458,212.02435518039454,219.90278917602876,210.78021082397123,0.0
102,216.245,215.13,217.96227374018784,212.16227374018783,219.40578306164568,211.92321693835433,0.0
103,216.78,214.25,218.3045333892962,212.08053338929616,218.40151376281324,213.61648623718668,0.0
104,218.23,217.07,218.70524450544383,212.24124450544383,218.29681014143276,214.26518985856725,3.9799999999999898
105,218.52,217.74,218.85064979883913,212.58664979883912,218.18798852897177,214.83401147102828,0.0
106,218.76,217.8,218.99887363472257,212.91487363472257,218.3564502460939,214.98754975390614,0.0
107,218.4038,217.23,219.06297900720244,213.16945900720242,218.32851032996723,215.2854896700327,0.0
108,218.94,217.95,219.2971486316063,213.4236286316063,218.633070710096,215.23792928990397,0.0
109,218.71,217.99,219.35434971868082,213.75682971868085,218.80103195134294,215.32696804865705,1.710000000000008
110,219.5,218.88,219.564722131315,214.02920213131497,219.12563394646523,215.2703660535348,0.0
111,218.68,217.96,219.42948764464842,214.38596764464842,219.1808026351863,215.39319736481366,0.0
112,218.53,217.02,219.6487040617689,214.44718406176895,219.30304980537767,215.3959501946223,0.0
113,218.9,218.21,219.45709034424675,214.99157034424678,219.4780639280664,215.48893607193358,0.0
114,218.75,217.74,219.45629697985476,215.24677697985476,219.59661118841768,215.5013888115824,2.4799999999999898
115,218.8,217.83,219.6046267926521,215.31910679265215,219.68611779308074,215.59888220691928,0.0
116,219.6,218.9,219.77044900442937,215.43292900442938,219.82698371026237,215.67601628973762,0.0
117,218.91,217.36,219.8761948137978,215.38019481379783,219.81169856099766,215.82830143900233,0.0
118,218.19,217.22,219.81122387917796,215.45122387917795,219.79831284020412,215.92768715979582,0.0
119,219.12,216.25,220.20777398564763,214.98777398564766,219.79558110448082,215.94341889551922,3.3499999999999943
120,218.665,217.4,220.33746217801706,214.9994621780171,219.82404939034208,216.05595060965786,0.0
121,218.59,217.35,220.38913244697724,215.00713244697724,219.56411677724705,216.56188322275298,0.0
122,217.75,216.465,220.36554840425816,214.98154840425815,219.3932662445405,216.85373375545944,0.0
123,217.73,216.03,220.5386390322646,214.7506390322646,219.22821302444964,217.11278697555042,0.0
124,218.87,217.7,220.67476864857935,214.75076864857937,219.24244843368209,217.1205515663179,2.8400000000000034
