,SPY_high,SPY_low,BBANDS Upper,BBands Lower,APZ Upper,APZ Lower,weekly_range
653,294.21,291.0,304.14256946985626,287.4264305301437,299.3927104748219,286.58605853893323,0.0
654,298.74,296.1448,303.52770287390086,287.5602971260991,299.89698520467573,287.0436189438557,10.25
655,296.67,295.57,303.02127368360397,287.64572631639606,300.2447578309624,287.42264722111497,0.0
656,299.7,296.97,302.6568400418182,287.80615995818175,301.05031572185266,288.26975615090686,0.0
657,299.16,297.92,302.1620584946905,288.0309415053095,301.63531963397793,288.9537324883306,0.0
658,300.24,298.515,301.7914284214351,288.2215715785648,302.27329543214773,289.72128539125663,0.0
659,299.395,296.99,301.74579058071095,288.236209419289,302.58820687334486,290.1675168367224,4.670000000000016
660,300.21,298.935,302.05663468864003,288.10336531135994,303.1819501563727,290.9302906194485,0.0
661,300.9,298.91,302.4265629030303,288.04743709696965,303.5090772484917,291.432580600053,0.0
662,299.94,298.495,302.7647789830991,287.9352210169009,303.91712379364384,292.0374270253456,0.0
663,301.07,299.4601,303.2380589592996,287.7989410407004,304.33263892357405,292.6605461617415,0.0
664,302.2,299.6806,304.0120348815583,287.64496511844175,304.8984048249746,293.4110632483354,3.704999999999984
665,303.85,302.91,304.99168787676496,287.3183121232351,305.6492989184877,294.37850659884,0.0
666,304.23,302.86,305.91256957925407,287.39443042074595,306.2574816493374,295.21351344554756,0.0
667,304.55,301.99,306.36037209717904,288.5546279028209,306.9386452149211,296.08877932344177,0.0
668,304.13,301.73,306.7250869374922,289.4809130625077,307.3775519202389,296.698430633078,0.0
669,306.19,304.74,307.83090910949,289.55409089051,308.21848678479705,297.7208000572974,4.4599999999999795
670,308.0,306.96,308.92444791089605,289.88955208910403,309.1269578564584,298.83159462229446,0.0
671,307.9195,306.71,308.9520759552024,291.71192404479757,309.82422355323257,299.74117199318215,0.0
672,307.4,306.06,309.12492954331384,293.12207045668623,310.41168095921756,300.5431270766167,0.0
673,309.65,307.66,309.55634611647196,294.18465388352803,311.0901442620215,301.41463435981376,0.0
674,309.0036,307.03,310.33465848119954,294.6723415188004,311.79132927043787,302.2900797644409,3.589999999999975
675,308.94,307.27,310.73026506385,295.51673493614993,312.27246291978645,302.938546381782,0.0
676,309.99,307.7,311.39248769125027,295.86651230874975,312.7883381430517,303.5941506408922,0.0
677,309.54,307.66,311.8847140002911,296.4442859997088,313.2318024751465,304.1669297753561,0.0
678,309.64,308.09,312.39646344128806,296.95953655871193,313.6678738035294,304.7335494751167,0.0
679,311.84,310.26,313.03318025278185,297.7048197472182,314.40910734927127,305.60428022305837,4.569999999999993
680,315.18,313.8,315.89130548790513,307.5486945120948,318.2503256106757,310.72728233400943,0.0
681,314.55,312.81,315.9053369831187,308.0526630168813,318.3510811542289,310.880165706332,0.0
682,314.7,313.4393,316.0569686794163,308.4430313205836,318.56980737903143,311.1620398511744,0.0
683,317.99,314.17,316.74281699292317,308.56018300707683,319.24974799970266,311.8291090630179,0.0
684,318.67,316.02,317.3604921746622,308.7195078253378,319.8709406779458,312.41338850203715,5.860000000000014
685,323.73,320.36,326.4719059807534,312.88309401924664,327.6572510627043,320.44342746733025,0.0
686,323.54,322.24,326.5981012358641,313.542898764136,327.82118031813593,320.5650984920237,0.0
687,325.78,322.67,326.71484619955066,314.48315380044943,328.26450052660715,320.93065224390233,0.0
688,326.73,325.52,326.98036553645517,315.5296344635448,329.00117424826436,321.6236664831086,0.0
689,327.46,325.2,326.8970189755509,316.7419810244491,329.464779189731,322.037449602427,7.099999999999966
690,325.12,322.66,333.7761534867354,319.1588465132647,334.3675436511373,326.64302577885377,0.0
691,327.85,323.6038,333.77837675850924,319.5596232414907,334.18710344197746,326.2912019718598,0.0
692,328.63,326.4,333.5523968999519,320.3396031000482,333.96767266215943,325.9216682307749,0.0
693,327.91,323.54,333.3978102679426,321.07618973205734,333.9817986898953,325.73377531888013,0.0
694,327.17,320.73,333.64177767952276,320.5182223204773,333.0151937649672,324.455485513026,7.899999999999977
695,326.16,323.22,333.5121011624713,320.8188988375287,332.58646908515084,323.74272133039426,0.0
696,330.01,327.72,333.60975394020187,321.26324605979806,333.05738696063196,323.97628216019956,0.0
697,333.09,330.67,334.1525074810797,321.7334925189203,334.1130431638343,324.830825968632,0.0
698,334.49,332.8,334.9544859259465,321.8845140740534,335.19744462793676,325.76986361222384,0.0
699,333.9941,331.6,335.38516110355124,322.00883889644876,335.81422894018715,326.2652826266615,11.269999999999982
700,333.5623,321.24,342.7198605797457,320.1381394202542,340.08341082181755,329.67363544327236,0.0
701,324.61,311.69,344.5704702994991,317.2025297005008,336.8103852052901,325.73971564400244,0.0
702,318.11,310.7,346.25759426283855,313.9764057371615,333.8286253139014,322.0582966723414,0.0
703,311.5637,297.51,350.4068300733672,306.9161699266328,328.9841028804074,316.268233913346,0.0
704,297.892,285.54,353.230266418634,300.950733581366,324.7074719198305,310.90692391489233,48.02229999999997
705,309.16,294.46,353.73065528123703,299.186344718763,323.4076325150575,308.33875925571664,0.0
706,313.84,297.57,354.9517756545489,295.5772243454511,320.94803273826136,304.4176416923012,0.0
707,313.1,303.33,354.58642709612207,294.3225729038778,321.0959004207582,303.1712830308643,0.0
708,308.47,300.01,354.32199162526405,291.54700837473587,319.4849158573608,300.2765132029754,0.0
